Date,Change pts,NIFTY_Change%,Change FDI,Change% FDI,Net Net
2025-01-22,130.6999999999971,0.57,2033.9299999999994,-84.04808343939568,-386.0300000000002
2025-01-21,-320.09999999999854,-1.37,-2405.3799999999997,16497.805212620107,-2419.9599999999996
2025-01-20,141.54999999999927,0.61,730.5999999999999,-98.04342574948336,-14.579999999999927
2025-01-17,-108.59999999999854,-0.47,668.0500000000002,-47.27114482426782,-745.1799999999998
2025-01-16,98.59999999999854,0.42,-562.2800000000002,66.07673776367594,-1413.23
2025-01-15,37.150000000001455,0.16,-619.75,268.05795847750886,-850.9499999999998
2025-01-14,90.09999999999854,0.39,-3404.4299999999994,-107.28595153833791,-231.19999999999982
2025-01-13,-345.5499999999993,-1.47,1465.9899999999993,85.86900494365169,3173.2299999999996
2025-01-10,-95.0,-0.4,1238.48,264.20343032681956,1707.2400000000002
2025-01-09,-162.45000000000073,-0.69,1114.6599999999999,-172.5747019662487,468.7600000000002
2025-01-08,-18.950000000000728,-0.08,-769.7199999999996,-621.6443224034889,-645.8999999999996
2025-01-07,91.85000000000218,0.39,-3050.7699999999995,-96.09965381356332,123.81999999999994
2025-01-06,-388.7000000000007,-1.62,6581.24,-193.18802929564234,3174.5899999999997
2025-01-03,-183.90000000000143,-0.76,-4935.54,-322.8185153935208,-3406.65
2025-01-02,445.75,1.88,1621.2300000000002,-1755.7179987004524,1528.89
2025-01-01,98.10000000000218,0.41,6.150000000000546,-6.2442887602807415,-92.34000000000015
2024-12-31,-0.1000000000021827,-0.0,-379.19000000000074,-135.08728179551147,-98.49000000000069
2024-12-30,-168.5,-0.71,-940.6499999999999,-77.01723502681459,280.70000000000005
2024-12-27,63.20000000000073,0.27,261.8600000000001,27.29158198626356,1221.35
2024-12-26,22.549999999999272,0.1,594.4499999999998,162.8451676528599,959.4899999999998
2024-12-24,-25.799999999999272,-0.11,-1693.9299999999998,-82.27074702399744,365.03999999999996
2024-12-23,165.95000000000073,0.7,4282.42,-192.60248712586295,2058.97
2024-12-20,-364.2000000000007,-1.52,-1941.77,689.353166714001,-2223.4500000000003
2024-12-19,-247.14999999999785,-1.02,-3048.9500000000003,-110.17898506470276,-281.6800000000003
2024-12-18,-137.15000000000146,-0.56,6470.65,-174.7228207745357,2767.27
2024-12-17,-332.25,-1.35,-3190.4299999999994,621.9768008577832,-3703.3799999999997
2024-12-16,-100.04999999999929,-0.4,-2116.07,-131.99698088726984,-512.95
2024-12-13,219.59999999999852,0.89,2516.4800000000005,-275.51896294998687,1603.1200000000001
2024-12-12,-93.09999999999854,-0.38,-1908.97,-191.73873303803703,-913.3600000000001
2024-12-11,31.75,0.13,-896.1400000000001,-47.370952821461614,995.6099999999999
2024-12-10,-8.950000000000728,-0.04,2815.55,-304.7791729811648,1891.75
2024-12-09,-58.79999999999927,-0.24,-752.55,439.44525547445255,-923.8
2024-12-06,-30.600000000002183,-0.12,-6407.52,-102.7460324841612,-171.25
2024-12-05,240.95000000000076,0.98,5339.290000000001,595.2518450801581,6236.27
2024-12-04,10.299999999999272,0.04,-2516.7000000000003,-73.72395772304375,896.9799999999999
2024-12-03,181.10000000000215,0.75,63.30000000000064,1.8893379258472367,3413.6800000000003
2024-12-02,144.95000000000073,0.6,2010.5899999999997,150.06754789929764,3350.3799999999997
2024-11-29,216.9499999999971,0.91,4377.740000000001,-144.101779160289,1339.79
2024-11-28,-360.75,-1.49,-4347.700000000001,-331.9488451994656,-3037.9500000000007
2024-11-27,80.40000000000146,0.33,2062.91,-273.90063200382394,1309.75
2024-11-26,-27.40000000000145,-0.11,-3792.739999999999,-124.77842333480285,-753.1599999999999
2024-11-25,314.65000000000146,1.32,2595.799999999999,584.9294695569871,3039.579999999999
2024-11-22,557.3499999999985,2.39,1564.3000000000006,-139.6048263306322,443.7800000000002
2024-11-21,-168.59999999999854,-0.72,-492.6800000000003,78.47222222222226,-1120.5200000000004
2024-11-19,64.70000000000073,0.28,-1555.0,-167.71646749212653,-627.8400000000001
2024-11-18,-78.90000000000146,-0.34,295.2199999999998,46.71646042345789,927.1599999999999
2024-11-14,-26.349999999998545,-0.11,-3010.72,-82.65168860118705,631.94
2024-11-13,-324.40000000000146,-1.36,4812.51,-411.37838184382616,3642.66
2024-11-12,-257.84999999999854,-1.07,-889.5999999999999,317.4308652988403,-1169.85
2024-11-11,-6.900000000001455,-0.03,1375.35,-83.07260207779656,-280.25
2024-11-08,-51.14999999999782,-0.21,1446.4700000000007,-46.62918631752348,-1655.6
2024-11-07,-284.7000000000007,-1.16,-3545.8100000000004,-799.0737819443823,-3102.0700000000006
2024-11-06,270.75,1.12,-17.8100000000004,-3.858736864911796,443.7399999999998
2024-11-05,217.95000000000076,0.91,1855.2600000000002,-133.11664550013992,461.5500000000002
2024-11-04,-309.0,-1.27,-804.45,136.51868445168517,-1393.71
2024-11-01,99.0,0.41,1709.45,-74.3656224578133,-589.26
2024-10-31,-135.5,-0.56,-2203.34,2310.307224494078,-2298.71
2024-10-30,-126.0,-0.51,-276.80999999999983,-152.56283068783065,-95.36999999999989
2024-10-29,127.69999999999708,0.52,2008.67,-109.92978442779508,181.43999999999994
2024-10-28,158.35000000000218,0.65,-2949.77,-262.7763821333761,-1827.23
2024-10-25,-218.60000000000215,-0.9,2564.52,-177.84712686722423,1122.54
2024-10-24,-36.09999999999855,-0.15,-1797.2499999999995,-505.8828496636367,-1441.98
2024-10-23,-36.59999999999855,-0.15,-1535.1800000000007,-81.20711999788412,355.2699999999995
2024-10-22,-309.0,-1.25,926.3700000000003,96.08849887976106,1890.4500000000003
2024-10-21,-72.95000000000073,-0.29,1234.9499999999998,-455.9198139328831,964.0799999999999
2024-10-18,104.20000000000071,0.42,2170.7,-88.90590890287807,-270.8699999999999
2024-10-17,-221.45000000000076,-0.89,-1261.9199999999996,106.97410248802608,-2441.5699999999997
2024-10-16,-86.04999999999927,-0.34,-1085.9,1158.2933333333335,-1179.65
2024-10-15,-70.60000000000218,-0.28,1359.75,-93.5500515995872,-93.75
2024-10-14,163.70000000000073,0.66,-1021.71,236.62196901271452,-1453.5
2024-10-11,-34.20000000000073,-0.14,616.4899999999998,-58.809669172358525,-431.78999999999996
2024-10-10,16.5,0.07,5.820000000000164,-0.5521297789583687,-1048.2799999999997
2024-10-09,-31.200000000000728,-0.12,-2325.18,-182.92947729489885,-1054.1
2024-10-08,217.40000000000143,0.88,-3680.630000000001,-74.3304838126627,1271.08
2024-10-07,-218.84999999999852,-0.87,5943.580000000002,-599.229737768054,4951.710000000001
2024-10-04,-235.5,-0.93,1337.4400000000005,-57.417861941948466,-991.8700000000008
2024-10-03,-546.8000000000029,-2.12,-1359.5100000000011,140.18457413899782,-2329.3100000000013
2024-10-01,-13.94999999999709,-0.05,2176.33,-69.17482748646749,-969.8000000000002
2024-09-30,-368.1000000000022,-1.41,-8823.68,-155.41351463219172,-3146.13
2024-09-27,-37.09999999999855,-0.14,2642.4699999999993,87.0642618975447,5677.549999999999
2024-09-26,211.89999999999785,0.81,2230.0299999999997,277.00515495931927,3035.08
2024-09-25,63.75,0.25,-279.1200000000001,-25.745039984504288,805.05
2024-09-24,1.3500000000021828,0.01,-342.8899999999999,-24.027721329166248,1084.17
2024-09-23,148.09999999999854,0.57,-8209.91,-85.19181859028305,1427.06
2024-09-20,375.1500000000015,1.48,10171.64,-1902.4145734752267,9636.97
2024-09-19,38.25,0.15,-1840.6700000000003,-140.93950995405822,-534.6700000000003
2024-09-18,-41.0,-0.16,-50.83999999999992,-3.7469414227174846,1306.0
2024-09-17,34.79999999999927,0.14,2237.73,-254.03058270612675,1356.84
2024-09-16,27.25,0.11,-5777.89,-117.9883602205432,-880.89
2024-09-13,-32.400000000001455,-0.13,-997.46,-16.921991157799017,4897.0
2024-09-12,470.4500000000007,1.89,3908.56,196.8155496248552,5894.46
2024-09-11,-122.64999999999782,-0.49,53.039999999999964,2.74412011216539,1985.9
2024-09-10,104.69999999999708,0.42,2813.75,-319.42126712756414,1932.8600000000001
2024-09-09,84.25,0.34,-2381.4700000000003,-158.70330139012916,-880.89
2024-09-06,-292.9499999999971,-1.17,-781.4699999999996,-34.2442102495563,1500.5800000000002
2024-09-05,-53.60000000000218,-0.21,1209.2399999999998,112.71707012425311,2282.0499999999997
2024-09-04,-81.14999999999782,-0.32,-1852.65,-63.328502184271876,1072.81
2024-09-03,1.1499999999978172,0.0,833.6300000000001,39.851708790867335,2925.46
