Unnamed: 0,Date,Gross Purchase FII,Gross Sales FII,Net Purchase FII,Gross Purchase DII,Gross Sales DII,Net Purchase DII,Net Net,# Net Net,Change,Change%
50,20-Dec-2024,30297.83,33895.65,-3597.82,20119.41,18745.04,1374.37,-2223.4500000000003,-281.6800000000003,-1941.77,689.353166714001
51,19-Dec-2024,12685.41,16910.33,-4224.92,14699.53,10756.29,3943.24,-281.6800000000003,2767.27,-3048.9500000000003,-110.17898506470276
52,18-Dec-2024,13345.2,14662.01,-1316.81,14068.09,9984.01,4084.08,2767.27,-3703.3799999999997,6470.65,-174.7228207745357
53,17-Dec-2024,15558.53,21968.39,-6409.86,11996.54,9290.06,2706.48,-3703.3799999999997,-512.95,-3190.4299999999994,621.9768008577832
54,16-Dec-2024,11678.24,11956.94,-278.7,8636.76,8871.01,-234.25,-512.95,1603.1200000000001,-2116.07,-131.99698088726984
55,13-Dec-2024,15968.39,13633.07,2335.32,9616.97,10349.17,-732.2,1603.1200000000001,-913.3600000000001,2516.4800000000005,-275.51896294998687
56,12-Dec-2024,14503.85,18063.86,-3560.01,13418.45,10771.8,2646.65,-913.3600000000001,995.6099999999999,-1908.97,-191.73873303803703
57,11-Dec-2024,11528.68,12540.92,-1012.24,11396.21,9388.36,2007.85,995.6099999999999,1891.75,-896.1400000000001,-47.370952821461614
58,10-Dec-2024,19936.98,18651.02,1285.96,11264.73,10658.94,605.79,1891.75,-923.8,2815.55,-304.7791729811648
59,09-Dec-2024,16650.44,15926.17,724.27,10429.71,12077.78,-1648.07,-923.8,-171.25,-752.55,439.44525547445255
60,06-Dec-2024,12013.83,13844.14,-1830.31,11651.37,9992.31,1659.06,-171.25,6236.27,-6407.52,-102.7460324841612
61,05-Dec-2024,24716.78,16176.87,8539.91,13395.84,15699.48,-2303.64,6236.27,896.9799999999999,5339.290000000001,595.2518450801581
62,04-Dec-2024,19968.95,18171.35,1797.6,14082.28,14982.9,-900.62,896.9799999999999,3413.6800000000003,-2516.7000000000003,-73.72395772304375
63,03-Dec-2024,22450.0,18785.33,3664.67,14553.16,14804.15,-250.99,3413.6800000000003,3350.3799999999997,63.30000000000064,1.8893379258472367
64,02-Dec-2024,13605.12,13843.4,-238.28,12456.43,8867.77,3588.66,3350.3799999999997,1339.79,2010.5899999999997,150.06754789929764
65,29-Nov-2024,14786.35,19169.9,-4383.55,15201.68,9478.34,5723.34,1339.79,-3037.9500000000007,4377.740000000001,-144.101779160289
66,28-Nov-2024,10796.17,22552.42,-11756.25,17685.35,8967.05,8718.3,-3037.9500000000007,1309.75,-4347.700000000001,-331.9488451994656
67,27-Nov-2024,13027.06,13019.28,7.78,10230.12,8928.15,1301.97,1309.75,-753.1599999999999,2062.91,-273.90063200382394
68,26-Nov-2024,10971.18,9813.48,1157.7,8406.15,10317.01,-1910.86,-753.1599999999999,3039.579999999999,-3792.739999999999,-124.77842333480285
69,25-Nov-2024,85251.94,75304.39,9947.55,17624.75,24532.72,-6907.97,3039.579999999999,443.7800000000002,2595.799999999999,584.9294695569871
70,22-Nov-2024,16985.36,18263.73,-1278.37,12251.72,10529.57,1722.15,443.7800000000002,-1120.5200000000004,1564.3000000000006,-139.6048263306322
71,21-Nov-2024,16559.63,21880.31,-5320.68,14555.77,10355.61,4200.16,-1120.5200000000004,-627.8400000000001,-492.6800000000003,78.47222222222226
72,19-Nov-2024,15255.09,18666.82,-3411.73,13657.81,10873.92,2783.89,-627.8400000000001,927.1599999999999,-1555.0,-167.71646749212653
73,18-Nov-2024,14256.29,15659.69,-1403.4,11521.42,9190.86,2330.56,927.1599999999999,631.94,295.2199999999998,46.71646042345789
74,14-Nov-2024,13003.06,14852.93,-1849.87,10200.35,7718.54,2481.81,631.94,3642.66,-3010.72,-82.65168860118705
75,13-Nov-2024,15178.17,17680.75,-2502.58,14095.16,7949.92,6145.24,3642.66,-1169.85,4812.51,-411.37838184382616
76,12-Nov-2024,12542.73,15567.04,-3024.31,10330.28,8475.82,1854.46,-1169.85,-280.25,-889.5999999999999,317.4308652988403
77,11-Nov-2024,9430.85,11737.73,-2306.88,9848.87,7822.24,2026.63,-280.25,-1655.6,1375.35,-83.07260207779656
78,08-Nov-2024,9336.94,12740.98,-3404.04,11246.96,9498.52,1748.44,-1655.6,-3102.0700000000006,1446.4700000000007,-46.62918631752348
79,07-Nov-2024,11736.07,16624.84,-4888.77,11374.43,9587.73,1786.7,-3102.0700000000006,443.7399999999998,-3545.8100000000004,-799.0737819443823
80,06-Nov-2024,11911.9,16357.49,-4445.59,16061.64,11172.31,4889.33,443.7399999999998,461.5500000000002,-17.8100000000004,-3.858736864911796
81,05-Nov-2024,11851.47,14420.88,-2569.41,12616.72,9585.76,3030.96,461.5500000000002,-1393.71,1855.2600000000002,-133.11664550013992
82,04-Nov-2024,13786.39,18116.18,-4329.79,12449.82,9513.74,2936.08,-1393.71,-589.26,-804.45,136.51868445168517
83,01-Nov-2024,68.79,280.72,-211.93,50.09,427.42,-377.33,-589.26,-2298.71,1709.45,-74.3656224578133
84,31-Oct-2024,16633.49,22446.79,-5813.3,13000.2,9485.61,3514.59,-2298.71,-95.36999999999989,-2203.34,2310.307224494078
85,30-Oct-2024,14908.59,19522.24,-4613.65,13594.06,9075.78,4518.28,-95.36999999999989,181.43999999999994,-276.80999999999983,-152.56283068783065
86,29-Oct-2024,15508.5,16057.19,-548.69,12823.77,12093.64,730.13,181.43999999999994,-1827.23,2008.67,-109.92978442779508
87,28-Oct-2024,13393.3,16621.38,-3228.08,12258.32,10857.47,1400.85,-1827.23,1122.54,-2949.77,-262.7763821333761
88,25-Oct-2024,14209.84,17246.59,-3036.75,15203.44,11044.15,4159.29,1122.54,-1441.98,2564.52,-177.84712686722423
89,24-Oct-2024,12537.42,17599.87,-5062.45,13827.85,10207.38,3620.47,-1441.98,355.2699999999995,-1797.2499999999995,-505.8828496636367
90,23-Oct-2024,14752.71,20437.34,-5684.63,16433.67,10393.77,6039.9,355.2699999999995,1890.4500000000003,-1535.1800000000007,-81.20711999788412
91,22-Oct-2024,15579.8,19558.41,-3978.61,16865.8,10996.74,5869.06,1890.4500000000003,964.0799999999999,926.3700000000003,96.08849887976106
92,21-Oct-2024,11982.7,14244.53,-2261.83,13741.13,10515.22,3225.91,964.0799999999999,-270.8699999999999,1234.9499999999998,-455.9198139328831
93,18-Oct-2024,12348.95,17834.65,-5485.7,13850.16,8635.33,5214.83,-270.8699999999999,-2441.5699999999997,2170.7,-88.90590890287807
94,17-Oct-2024,9721.1,17142.5,-7421.4,16817.01,11837.18,4979.83,-2441.5699999999997,-1179.65,-1261.9199999999996,106.97410248802608
95,16-Oct-2024,14465.64,17901.58,-3435.94,13432.45,11176.16,2256.29,-1179.65,-93.75,-1085.9,1158.2933333333335
96,15-Oct-2024,16097.89,17846.6,-1748.71,13229.43,11574.47,1654.96,-93.75,-1453.5,1359.75,-93.5500515995872
97,14-Oct-2024,9364.16,13095.75,-3731.59,11597.52,9319.43,2278.09,-1453.5,-431.78999999999996,-1021.71,236.62196901271452
98,11-Oct-2024,6219.76,10382.42,-4162.66,11906.51,8175.64,3730.87,-431.78999999999996,-1048.2799999999997,616.4899999999998,-58.809669172358525
99,10-Oct-2024,16514.3,21440.91,-4926.61,13301.19,9422.86,3878.33,-1048.2799999999997,-1054.1,5.820000000000164,-0.5521297789583687
100,09-Oct-2024,11726.26,16288.97,-4562.71,14841.81,11333.2,3508.61,-1054.1,1271.08,-2325.18,-182.92947729489885
101,08-Oct-2024,14774.19,20503.79,-5729.6,19494.71,12494.03,7000.68,1271.08,4951.710000000001,-3680.630000000001,-74.3304838126627
102,07-Oct-2024,14057.25,22350.66,-8293.41,23924.07,10678.95,13245.12,4951.710000000001,-991.8700000000008,5943.580000000002,-599.229737768054
103,04-Oct-2024,14524.79,24421.74,-9896.95,20286.53,11381.45,8905.08,-991.8700000000008,-2329.3100000000013,1337.4400000000005,-57.417861941948466
104,03-Oct-2024,17311.91,32555.18,-15243.27,25294.47,12380.51,12913.96,-2329.3100000000013,-969.8000000000002,-1359.5100000000011,140.18457413899782
105,01-Oct-2024,12627.79,18207.14,-5579.35,14435.2,9825.65,4609.55,-969.8000000000002,-3146.13,2176.33,-69.17482748646749
106,30-Sep-2024,16620.77,26412.7,-9791.93,17880.53,11234.73,6645.8,-3146.13,5677.549999999999,-8823.68,-155.41351463219172
107,27-Sep-2024,26135.9,27345.0,-1209.1,50042.69,43156.04,6886.65,5677.549999999999,3035.08,2642.4699999999993,87.0642618975447
108,26-Sep-2024,26421.21,25791.25,629.96,15461.3,13056.18,2405.12,3035.08,805.05,2230.0299999999997,277.00515495931927
109,25-Sep-2024,15086.88,16060.82,-973.94,12899.34,11120.35,1778.99,805.05,1084.17,-279.1200000000001,-25.745039984504288
110,24-Sep-2024,20111.37,22895.51,-2784.14,15939.51,12071.2,3868.31,1084.17,1427.06,-342.8899999999999,-24.027721329166248
111,23-Sep-2024,12094.89,11690.47,404.42,11666.36,10643.72,1022.64,1427.06,9636.97,-8209.91,-85.19181859028305
112,20-Sep-2024,59452.33,45388.28,14064.05,16987.42,21414.5,-4427.08,9636.97,-534.6700000000003,10171.64,-1902.4145734752267
113,19-Sep-2024,17852.32,20399.85,-2547.53,16234.69,14221.83,2012.86,-534.6700000000003,1306.0,-1840.6700000000003,-140.93950995405822
114,18-Sep-2024,11654.0,10500.31,1153.69,11794.51,11642.2,152.31,1306.0,1356.84,-50.83999999999992,-3.7469414227174846
