,Index Name,Date,Open,Close,Previous day,Change pts
88,NIFTY 50,25 Oct 2024,24418.05,24180.8,24399.4,-218.60000000000218
89,NIFTY 50,24 Oct 2024,24412.7,24399.4,24435.5,-36.099999999998545
90,NIFTY 50,23 Oct 2024,24378.15,24435.5,24472.1,-36.599999999998545
91,NIFTY 50,22 Oct 2024,24798.65,24472.1,24781.1,-309.0
92,NIFTY 50,21 Oct 2024,24956.15,24781.1,24854.05,-72.95000000000073
93,NIFTY 50,18 Oct 2024,24664.95,24854.05,24749.85,104.20000000000073
94,NIFTY 50,17 Oct 2024,25027.4,24749.85,24971.3,-221.45000000000073
95,NIFTY 50,16 Oct 2024,25008.55,24971.3,25057.35,-86.04999999999927
96,NIFTY 50,15 Oct 2024,25186.3,25057.35,25127.95,-70.60000000000218
97,NIFTY 50,14 Oct 2024,25023.45,25127.95,24964.25,163.70000000000073
98,NIFTY 50,11 Oct 2024,24985.3,24964.25,24998.45,-34.20000000000073
99,NIFTY 50,10 Oct 2024,25067.05,24998.45,24981.95,16.5
100,NIFTY 50,09 Oct 2024,25065.8,24981.95,25013.15,-31.200000000000728
101,NIFTY 50,08 Oct 2024,24832.2,25013.15,24795.75,217.40000000000146
102,NIFTY 50,07 Oct 2024,25084.1,24795.75,25014.6,-218.84999999999854
103,NIFTY 50,04 Oct 2024,25181.9,25014.6,25250.1,-235.5
104,NIFTY 50,03 Oct 2024,25452.85,25250.1,25796.9,-546.8000000000029
105,NIFTY 50,01 Oct 2024,25788.45,25796.9,25810.85,-13.94999999999709
106,NIFTY 50,30 Sep 2024,26061.3,25810.85,26178.95,-368.1000000000022
107,NIFTY 50,27 Sep 2024,26248.25,26178.95,26216.05,-37.099999999998545
108,NIFTY 50,26 Sep 2024,26005.4,26216.05,26004.15,211.89999999999782
109,NIFTY 50,25 Sep 2024,25899.45,26004.15,25940.4,63.75
110,NIFTY 50,24 Sep 2024,25921.45,25940.4,25939.05,1.3500000000021828
111,NIFTY 50,23 Sep 2024,25872.55,25939.05,25790.95,148.09999999999854
112,NIFTY 50,20 Sep 2024,25525.95,25790.95,25415.8,375.15000000000146
113,NIFTY 50,19 Sep 2024,25487.05,25415.8,25377.55,38.25
114,NIFTY 50,18 Sep 2024,25402.4,25377.55,25418.55,-41.0
115,NIFTY 50,17 Sep 2024,25416.9,25418.55,25383.75,34.79999999999927
116,NIFTY 50,16 Sep 2024,25406.65,25383.75,25356.5,27.25
117,NIFTY 50,13 Sep 2024,25430.45,25356.5,25388.9,-32.400000000001455
118,NIFTY 50,12 Sep 2024,25059.65,25388.9,24918.45,470.4500000000007
119,NIFTY 50,11 Sep 2024,25034.0,24918.45,25041.1,-122.64999999999782
120,NIFTY 50,10 Sep 2024,24999.4,25041.1,24936.4,104.69999999999709
121,NIFTY 50,09 Sep 2024,24823.4,24936.4,24852.15,84.25
122,NIFTY 50,06 Sep 2024,25093.7,24852.15,25145.1,-292.9499999999971
123,NIFTY 50,05 Sep 2024,25250.5,25145.1,25198.7,-53.60000000000218
124,NIFTY 50,04 Sep 2024,25089.95,25198.7,25279.85,-81.14999999999782
125,NIFTY 50,03 Sep 2024,25313.4,25279.85,25278.7,1.1499999999978172
126,NIFTY 50,02 Sep 2024,25333.6,25278.7,,
