,Date,Price,Open,High,Low,Vol.,Change %,Yesterday Price,Change Pts
91,"Oct 23, 2024",2717.1,"2,748.90","2,758.50","2,709.90",0.65K,-1.10%,2747.4,-30.300000000000182
92,"Oct 22, 2024",2747.4,"2,723.10","2,749.50","2,721.80",0.43K,0.0076,2726.8,20.59999999999991
93,"Oct 21, 2024",2726.8,"2,724.30","2,742.60","2,716.90",0.41K,0.0032,2718.0,8.800000000000182
94,"Oct 18, 2024",2718.0,"2,696.20","2,725.60","2,696.20",0.22K,0.0083,2695.5,22.5
95,"Oct 17, 2024",2695.5,"2,676.90","2,700.50","2,676.90",0.27K,0.006,2679.3,16.199999999999818
96,"Oct 16, 2024",2679.3,"2,666.80","2,689.50","2,666.00",0.38K,0.0046,2667.0,12.300000000000182
97,"Oct 15, 2024",2667.0,"2,654.60","2,673.80","2,643.10",0.24K,0.005,2653.7,13.300000000000182
98,"Oct 14, 2024",2653.7,"2,659.90","2,671.30","2,648.40",0.39K,-0.40%,2664.4,-10.700000000000273
99,"Oct 11, 2024",2664.4,"2,634.40","2,666.80","2,634.40",0.31K,0.0141,2627.4,37.0
100,"Oct 10, 2024",2627.4,"2,614.80","2,636.90","2,608.80",0.88K,0.0051,2614.1,13.300000000000182
101,"Oct 09, 2024",2614.1,"2,628.80","2,630.60","2,612.00",0.77K,-0.36%,2623.5,-9.400000000000091
102,"Oct 08, 2024",2623.5,"2,649.60","2,660.40","2,612.70",1.05K,-1.15%,2654.0,-30.5
103,"Oct 07, 2024",2654.0,"2,658.80","2,666.60","2,646.00",0.39K,-0.08%,2656.0,-2.0
104,"Oct 04, 2024",2656.0,"2,663.00","2,678.20","2,641.90",0.85K,-0.43%,2667.4,-11.400000000000091
105,"Oct 03, 2024",2667.4,"2,668.30","2,670.70","2,646.50",0.65K,0.0035,2658.1,9.300000000000182
106,"Oct 02, 2024",2658.1,"2,671.10","2,672.40","2,653.30",0.34K,-0.76%,2678.5,-20.40000000000009
